OverallQual,YearBuilt,YearRemodAdd,LotFrontage,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
7,2003,2003,65.0,856.0,1710,548.0,208500.0
6,1976,1976,80.0,1262.0,1262,460.0,181500.0
7,2001,2002,68.0,920.0,1786,608.0,223500.0
7,1915,1970,60.0,756.0,1717,642.0,140000.0
8,2000,2000,84.0,1145.0,2198,836.0,250000.0
5,1993,1995,85.0,796.0,1362,480.0,143000.0
8,2004,2005,75.0,1686.0,1694,636.0,307000.0
7,1973,1973,97.64,1107.0,2090,484.0,200000.0
7,1931,1950,51.0,952.0,1774,468.0,129900.0
5,1939,1950,50.0,991.0,1077,205.0,118000.0
5,1965,1965,70.0,1040.0,1040,384.0,129500.0
9,2005,2006,85.0,1175.0,2324,736.0,345000.0
5,1962,1962,84.18,912.0,912,352.0,144000.0
7,2006,2007,91.0,1494.0,1494,840.0,279500.0
6,1960,1960,100.42,1253.0,1253,352.0,157000.0
7,1929,2001,51.0,832.0,854,576.0,132000.0
6,1970,1970,59.26,1004.0,1004,480.0,149000.0
4,1967,1967,72.0,0.0,1296,516.0,90000.0
5,2004,2004,66.0,1114.0,1114,576.0,159000.0
5,1958,1965,70.0,1029.0,1339,294.0,139000.0
8,2005,2006,101.0,1158.0,2376,853.0,325300.0
7,1930,1950,57.0,637.0,1108,280.0,139400.0
8,2002,2002,75.0,1777.0,1795,534.0,230000.0
5,1976,1976,44.0,1040.0,1060,572.0,129900.0
5,1968,2001,68.38,1060.0,1060,270.0,154000.0
8,2007,2007,110.0,1566.0,1600,890.0,256300.0
5,1951,2000,60.0,900.0,900,576.0,134800.0
8,2007,2008,98.0,1704.0,1704,772.0,306000.0
5,1957,1997,47.0,1484.0,1600,319.0,207500.0
4,1927,1950,60.0,520.0,520,240.0,68500.0
4,1920,1950,50.0,649.0,1317,250.0,40000.0
5,1966,2006,70.33,1228.0,1228,271.0,149350.0
8,2007,2007,85.0,1234.0,1234,484.0,179900.0
5,1959,1959,70.0,1398.0,1700,447.0,165500.0
9,2005,2005,60.0,1561.0,1561,556.0,277500.0
8,2004,2005,108.0,1117.0,2452,691.0,309000.0
5,1994,1995,112.0,1097.0,1097,672.0,145000.0
5,1954,1990,74.0,1297.0,1297,498.0,153000.0
5,1953,2007,68.0,1057.0,1057,246.0,109000.0
4,1955,1955,65.0,0.0,1152,0.0,82000.0
6,1965,1965,84.0,1088.0,1324,440.0,160000.0
5,1959,1959,115.0,1350.0,1328,308.0,170000.0
5,1983,1983,66.05,840.0,884,504.0,144000.0
5,1975,1980,65.66,938.0,938,308.0,130250.0
5,1959,1959,70.0,1150.0,1150,300.0,141000.0
9,2005,2005,61.0,1752.0,1752,576.0,319900.0
7,2003,2003,48.0,1434.0,2149,670.0,239686.0
8,2006,2006,84.0,1656.0,1656,826.0,249700.0
4,1920,2008,33.0,736.0,1452,0.0,113000.0
5,1966,1966,66.0,955.0,955,386.0,127000.0
6,1997,1997,110.67,794.0,1470,388.0,177000.0
6,1934,1950,52.0,816.0,1176,528.0,114500.0
5,1963,1963,110.0,816.0,816,516.0,110000.0
9,1981,1987,68.0,1842.0,1842,894.0,385000.0
5,1955,1955,60.0,384.0,1360,572.0,130000.0
6,1964,1964,100.0,1425.0,1425,576.0,180500.0
8,1999,2000,24.0,970.0,1739,480.0,172500.0
7,2004,2004,89.0,860.0,1720,565.0,196500.0
10,2006,2006,66.0,1410.0,2945,641.0,438780.0
5,1972,1972,60.0,780.0,780,352.0,124900.0
